job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3894560635,28439179.0,Spotter,Senior Data Scientist,"Culver City, CA",FULL_TIME,Mid-Senior level,1712793600000.0,4.0,,On-site / Hybrid,Data Science,
3894565071,144240.0,"Kiss Products, Inc.",Data Engineer Manager,"Port Washington, NY",FULL_TIME,Mid-Senior level,1712891150000.0,2.0,,On-site / Hybrid,Data Engineering,103000.0
3894565137,2152.0,TEKsystems,Databricks Support Engineer,"Irving, TX",FULL_TIME,Entry level,1712793600000.0,4.0,,On-site / Hybrid,Data Engineering,
3894566119,2152.0,TEKsystems,Database Support Engineer,"Irving, TX",FULL_TIME,Entry level,1712793600000.0,4.0,,On-site / Hybrid,Data Engineering,
3894580810,50625.0,PointClickCare,Applied Researcher - Machine Learning,United States,FULL_TIME,Mid-Senior level,1712080673000.0,6.0,1.0,On-site / Hybrid,Data Science,141500.0
3894584487,68631655.0,Watershed,Data infrastructure engineer,"New York, United States",FULL_TIME,Entry level,1712793600000.0,7.0,,On-site / Hybrid,Data Engineering,215000.0
3894584488,68631655.0,Watershed,Data infrastructure engineer,"San Francisco, CA",FULL_TIME,Entry level,1712793600000.0,10.0,,On-site / Hybrid,Data Engineering,215000.0
3894585193,64550438.0,FastTek Global,Data Engineer General,"Dearborn, MI",FULL_TIME,Mid-Senior level,1712894169000.0,19.0,4.0,On-site / Hybrid,Data Engineering,
3894611872,601919.0,Genesys,CS North America Insights Senior Analyst,"Minnesota, United States",FULL_TIME,Mid-Senior level,1712896518000.0,8.0,1.0,On-site / Hybrid,Data Analytics,
3894613123,827183.0,Russell Tobin,Data Engineer,"Austin, Texas Metropolitan Area",CONTRACT,Mid-Senior level,1712896120000.0,95.0,42.0,On-site / Hybrid,Data Engineering,111280.0
3894616657,1403.0,Booz Allen Hamilton,"Generative AI Engineer, Senior","McLean, VA",FULL_TIME,,1712793600000.0,4.0,,On-site / Hybrid,Data Science,158300.0
3894617896,18425303.0,Spectrum,"Sr. Manager, Business Intelligence","Charlotte, NC",FULL_TIME,Mid-Senior level,1712896929000.0,4.0,,On-site / Hybrid,Data Analytics,
3894627666,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"Houston, TX",FULL_TIME,Mid-Senior level,1712897877000.0,4.0,,Remote,Data Science,222545.0
3894627680,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"San Antonio, TX",FULL_TIME,Mid-Senior level,1712897887000.0,6.0,,Remote,Data Science,
3894627870,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"Irving, TX",FULL_TIME,Mid-Senior level,1712898053000.0,4.0,,Remote,Data Science,222545.0
3894629384,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"Corpus Christi, TX",FULL_TIME,Mid-Senior level,1712897881000.0,10.0,,Remote,Data Science,
3894633106,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"San Antonio, TX",FULL_TIME,Mid-Senior level,1712897887000.0,7.0,,Remote,Data Science,
3894634092,4501.0,USAA,Data Scientist Lead – Telematics (Remote),"Austin, TX",FULL_TIME,Mid-Senior level,1712897874000.0,4.0,,Remote,Data Science,222545.0
3894662724,,,Founding Data Scientist,United States,PART_TIME,,1712902180000.0,3.0,1.0,On-site / Hybrid,Data Science,
3894844108,352242.0,Nippon Life Benefits,Medical Data Analyst / Programmer,"New York, NY",FULL_TIME,,1712857638000.0,2.0,,On-site / Hybrid,Data Analytics,82500.0
3894863970,336165.0,Advantis Global is becoming INSPYR Solutions,Data Engineer II,"Bellevue, WA",CONTRACT,Mid-Senior level,1712854440000.0,70.0,40.0,On-site / Hybrid,Data Engineering,135200.0
3894874683,2017.0,Qualcomm,Machine Learning Engineer,"Santa Clara, CA",FULL_TIME,,1712854833000.0,6.0,,On-site / Hybrid,Data Science,195500.0
3894876574,12969.0,Genmab,"(Senior) Bioinformatics Data Engineer, Translational and Quantitative Sciences Data Engineering","Princeton, NJ",FULL_TIME,Mid-Senior level,1712854963000.0,6.0,,On-site / Hybrid,Data Science,
3894876827,3252.0,KeyBank,Data Risk Program Management Risk Analyst IV – Strategy and Change Management,United States,FULL_TIME,Mid-Senior level,1712855219000.0,5.0,,On-site / Hybrid,Data Analytics,
3894885498,11568.0,Navy Federal Credit Union,ISD Engineer III (SQL Server Database Administrator),"Winchester, VA",OTHER,Mid-Senior level,1712855662000.0,4.0,,On-site / Hybrid,Data Engineering,
3894885732,10797226.0,Burton Recruitment Limited,Data Scientist - AI Investment,United States,FULL_TIME,Mid-Senior level,1712855944000.0,47.0,16.0,On-site / Hybrid,Data Science,225000.0
3894886364,11568.0,Navy Federal Credit Union,ISD Engineer III (SQL Server Database Administrator),"Pensacola, FL",OTHER,Mid-Senior level,1712855662000.0,4.0,,On-site / Hybrid,Data Engineering,
3894886376,11568.0,Navy Federal Credit Union,ISD Engineer III (SQL Server Database Administrator),"Vienna, VA",OTHER,Mid-Senior level,1712855665000.0,4.0,,On-site / Hybrid,Data Engineering,
